,Data Updated:,"May 23, 2025",,,,,,,,,,,,,,
,No,Site Name (ABR),Node Name (NCE),Site Name (Thai),Site Name (SOR),Site Name (Confirmed),Management IP (Loopback IP),NE Type,Access Network,Region,ABR,,,,,
,82,C1_EO_SBI_NE08_1,C1_EO_SBI_NE8K_1,กฟจ.สระบุรี,กฟจ.สระบุรี,กฟจ.สระบุรี,10.10.50.197,NetEngine 8000 M6,4,C1,SBI,,,,,
,83,C1_SS_SRA_NE08_1,C1_SS_SRA_NE08_1,สฟฟ.สระบุรี 1,สฟฟ.สระบุรี 1,สฟฟ.สระบุรี 1,10.10.50.198,NE08E-S6,4,C1,SRA,,,,,
,84,C1_SS_SRE_NE08_1,C1_SS_SRE_NE08_1,สฟฟ.สระบุรี 5,สฟฟ.สระบุรี 5,สฟฟ.สระบุรี 5,10.10.50.199,NE08E-S6,4,C1,SRE,,,,,
,85,C1_SS_BNL_NE08_1,C1_SS_BNL_NE08_1,สฟฟ.บ้านเลน,สฟฟ.บ้านเลน 1,สฟฟ.บ้านเลน 1,10.10.50.2,NE08E-S6,1,C1,BNL,,,,,
,86,C1_SS_LBL_NE08_1,C1_SS_LBL_NE08_1,สฟฟ.ลาดบัวหลวง,สฟฟ.ลาดบัวหลวง,สฟฟ.ลาดบัวหลวง,10.10.50.20,NE08E-S6,1,C1,LBL,,,,,
,87,C1_EO_BHK_NE08_1,C1_EO_BHK_NE08_1,กฟฟ.บ้านหินกอง(PEA.Ban Hin Kong),กฟฟ.บ้านหินกอง,กฟฟ.บ้านหินกอง,10.10.50.200,NE08E-S6,4,C1,BHK,,,,,
,88,C1_SS_NPL_NE08_1,C1_SS_NPL_NE08_1,สฟฟ.หนองปลิง(ES.Nong Pling),สฟฟ.หนองปลิง,สฟฟ.หนองปลิง,10.10.50.201,NE08E-S6,4,C1,NPL,,,,,
,89,C1_SS_NOH_NE08_1,C1_SS_NOH_NE08_1,สฟฟ.หนองแค 1,สฟฟ.หนองแค 1,สฟฟ.หนองแค 1,10.10.50.202,NE08E-S6,4,C1,NOH,,,,,
,90,C1_SS_WAA_NE08_1,C1_SS_WAA_NE08_1,สฟฟ.วังน้อย(ES.Wang Noi),สฟฟ.วังน้อย,สฟฟ.วังน้อย,10.10.50.203,NE08E-S6,4,C1,WAA,,,,,
,91,C1_SS_RCN_NE08_1,C1_SS_RCN_NE08_1,สฟฟ.โรจนะ 1(ES.Rojana 1),สฟฟ.โรจนะ 1,สฟฟ.โรจนะ 1,10.10.50.204,NE08E-S6,4,C1,RCN,,,,,
,92,C1_SS_SRB_NE08_1,C1_SS_SRB_NE08_1,สฟฟ.สระบุรี 2,สฟฟ.สระบุรี 2,สฟฟ.สระบุรี 2,10.10.50.205,NE08E-S6,4,C1,SRB,,,,,
,93,C1_EO_KKI_NE08_1,C1_EO_KKI_NE08_1,กฟอ.แก่งคอย,กฟอ.แก่งคอย,กฟอ.แก่งคอย,10.10.50.206,NE08E-S6,4,C1,KKI,,,,,
,94,C1_SS_TDA_NE08_1,C1_SS_TDA_NE08_1,สฟฟ.ตาลเดี่ยว,สฟฟ.ตาลเดี่ยว,สฟฟ.ตาลเดี่ยว,10.10.50.207,NE08E-S6,4,C1,TDA,,,,,
,95,C1_E0_NKL_NE08_1,C1_EO_NLG_NE08_1,กฟส.นครหลวง,กฟส.นครหลวง,กฟส.นครหลวง,10.10.50.208,NE08E-S6E,4,C1,NLG,,,,,
,96,C1_SS_NKL_NE08_1,C1_SS_NKL_NE08_1,สฟฟ.นครหลวง,สฟฟ.นครหลวง,สฟฟ.นครหลวง,10.10.50.209,NE08E-S6E,4,C1,NKL,,,,,
,97,C1_SS_SNA_NE08_1,C1_SS_SNA_NE08_1,สฟฟ.เสนา,สฟฟ.เสนา,สฟฟ.เสนา,10.10.50.21,NE08E-S6,1,C1,SNA,,,,,
,98,C1_EO_PCH_NE08_1,C1_EO_PCH_NE08_1,กฟย.ภาชี,กฟย.ภาชี,กฟย.ภาชี,10.10.50.210,NE08E-S6E,4,C1,PCH,,,,,
,99,C1_E0_TRE_NE08_1,C1_EO_TRE_NE08_1,กฟส.ท่าเรือ,กฟส.ท่าเรือ,กฟอ.ท่าเรือ,10.10.50.211,NE08E-S6E,4,C1,TRE,,,,,
