,Data Updated:,"May 23, 2025",,,,,,,,,,,,,,
,No,Site Name (ABR),Node Name (NCE),Site Name (Thai),Site Name (SOR),Site Name (Confirmed),Management IP (Loopback IP),NE Type,Access Network,Region,ABR,,,,,
,340,C2_E0_CCA_NE08_1,New_C2_EO_CCA_NE08_1,กฟจ.ฉะเชิงเทรา,กฟจ.ฉะเชิงเทรา,กฟจ.ฉะเชิงเทรา,10.10.52.23,NE08E-S6E,7,C2,CCA,,,,,
,341,C2_SS_GUU_NE8K_1,C2_SS_GUU_NE8K_1,สฟฟ.เขาคิชฌกูฏ (ชค),สฟฟ.เขาคิชฌกูฏ (ชค),สฟฟ.เขาคิชฌกูฏ (ชค),10.10.52.230,NetEngine 8000 M6,10,C2,GUU,,,,,
,342,C2_SS_HSR_NE08_1,New_C2_SS_HSR_NE08_1,สฟฟ.หัวสำโรง,สฟฟ.หัวสำโรง,สฟฟ.หัวสำโรง,10.10.52.24,NE08E-S6E,7,C2,HSR,,,,,
,343,C2_SS_BGR_NE08_1,New_C2_SS_BGR_NE08_1,สฟฟ.บางปะกง 3,สฟฟ.บางปะกง 3,สฟฟ.บางปะกง 3,10.10.52.25,NE08E-S6E,7,C2,BGR,,,,,
,344,C2_E0_BGP_NE08_1,New_C2_EO_BGP_NE08_1,กฟอ.บางปะกง,กฟอ.บางปะกง,กฟอ.บางปะกง,10.10.52.26,NE08E-S6E,7,C2,BGP,,,,,
,345,C2_E0_BAK_NE08_1,New_C2_EO_BAK_NE08_1,กฟส.บางคล้า,กฟส.บางคล้า,กฟส.บางคล้า,10.10.52.27,NE08E-S6E,7,C2,BAK,,,,,
,346,C2_E0_PHA_NE08_1,C2_EO_PHA_NE08_1,กฟอ.พนมสารคาม,กฟอ.พนมสารคาม,กฟอ.พนมสารคาม,10.10.52.28,NE08E-S6E,7,C2,PHA,,,,,
,347,C2_SS_BSL_NE08_1,New_C2_SS_BSL_NE08_1,สฟฟ.บางสมัคร 3,สฟฟ.บางสมัคร 3,สฟฟ.บางสมัคร 3,10.10.52.29,NE08E-S6E,7,C2,BSL,,,,,
,348,C2_SS_BBB_NE08_1,C2_SS_BBB_NE08_1,สฟฟ.บ้านบึง 2(ES.Ban Bueng 2),สฟฟ.บ้านบึง 2,สฟฟ.บ้านบึง 2,10.10.52.3,NE08E-S6,14,C2,BBB,,,,,
,349,C2_SS_BKC_NE08_1,C2_EO_BKC_NE08_1,กฟส.บ้านคลองเจ้า,กฟส.บ้านคลองเจ้า,กฟส.บ้านคลองเจ้า,10.10.52.30,NE08E-S6E,7,C2,BKC,,,,,
,350,C2_SS_KOB_NE08_1,New_C2_SS_KOB_NE08_1,สฟฟ.คลองใหม่  2,สฟฟ.คลองใหม่  2,สฟฟ.คลองใหม่ 2,10.10.52.31,NE08E-S6E,7,C2,KOB,,,,,
,351,New_C2_EO_PYA_NE08_1,New_C2_EO_PYA_NE08_1,กฟส.แปลงยาว,กฟส.แปลงยาว,กฟส.แปลงยาว,10.10.52.32,NE08E-S6E,7,C2,PYA,,,,,
,352,C1_EO_HTTK_NE80_1,New_C2_EO_HTTK_NE08_1,กฟย.ท่าตะเกียบ,กฟย.ท่าตะเกียบ,กฟย.ท่าตะเกียบ,10.10.52.33,NE08E-S6E,7,C2,HTT,,,,,
,353,C2_SS_CCB_NE8K_1,New_C2_SS_CCB_NE8K_1,สฟฟ.ฉะเชิงเทรา 2 (แทรกกลาง),สฟฟ.ฉะเชิงเทรา 2 (แทรกกลาง),สฟฟ.ฉะเชิงเทรา 2 ,10.10.52.34,NetEngine 8000 M6,7,C2,CCB,,,,,
,354,C2_EO_HRCS_NE8K_1,New_C2_EO_HRCS_NE8K_1,กฟย.ราชสาส์น,กฟย.ราชสาส์น,กฟย.ราชสาส์น,10.10.52.35,NetEngine 8000 M6,7,C2,HRC,,,,,
,355,C2_SS_KWC_NE8K_1,New_C2_SS_KWC_NE8K_1,สฟฟ.คลองขวาง 3 ชั่วคราว,สฟฟ.คลองขวาง 3 ชั่วคราว,สฟฟ.คลองขวาง 3 (ชั่วคราว),10.10.52.36,NetEngine 8000 M6,7,C2,KWC,,,,,
,356,C2_SS_BVU_NE8K_1,C2_SS_BVU_NE8K_1,สฟฟ.บ่อทอง ชั่วคราว,สฟฟ.บ่อทอง ชั่วคราว,สฟฟ.บ่อทอง (ชั่วคราว),10.10.52.37,NetEngine 8000 M6,14,C2,BVU,,,,,
,357,C2_SS_KN_NE8K_1,C2_EO_KN_NE8K_1,กฟย.คลองเขื่อน,กฟย.คลองเขื่อน,กฟย.คลองเขื่อน,10.10.52.38,NetEngine 8000 M6,7,C2,KN_,,,,,
,358,C2_SS_CBA_NE08_1,C2_SS_CBA_NE08_1,สฟฟ.ชลบุรี 1,สฟฟ.ชลบุรี 1,สฟฟ.ชลบุรี 1,10.10.52.4,NE08E-S6,7,C2,CBA,,,,,
,359,C2_SS_BP_NE8K_1,C2_SS_BP_NE08_1,สฟฟ.บ้านโพธิ์,สฟฟ.บ้านโพธิ์,สฟฟ.บ้านโพธิ์,10.10.52.40,NE08E-S6,7,C2,BP_,,,,,
,360,C2_SS_PYA_NE08_1,C2_SS_PYA_NE08_1,สฟฟ.แปลงยาว,สฟฟ.แปลงยาว,สฟฟ.แปลงยาว,10.10.52.41,NE08E-S6,7,C2,PYA,,,,,
,361,C2_SS_BZD_NE8K_1,C2_SS_BZD_NE8K_1,สฟฟ.บางสมัคร 4,สฟฟ.บางสมัคร 4,สฟฟ.บางสมัคร 4,10.10.52.42,NetEngine 8000 M6,7,C2,BZD,,,,,
,362,C2_ADDC_EO_CBR_NE08_1,C2_ADDC_EO_CBR_NE08_1,ศจฟ.กฟก.2 (ชลบุรี),ศจฟ.กฟก.2 ,ศจฟ.กฟก.2,10.10.52.5,NE08E-S6,7,C2,CBR,,,,,
,363,C2_SS_CCA_NE08_1,C2_SS_CCA_NE08_1,สฟฟ.ฉะเชิงเทรา(ES.Chachoengsao),สฟฟ.ฉะเชิงเทรา,สฟฟ.ฉะเชิงเทรา,10.10.52.6,NE08E-S6,7,C2,CCA,,,,,
,364,C2_ADDC_EO_CBR_NE08_2,C2_ADDC_EO_CBR_NE8K_2,ศจฟ.กฟก.2 (ชลบุรี),ศจฟ.กฟก.2 ,ศจฟ.กฟก.2,10.10.52.64,NetEngine 8000 M6,8,C2,CBR,,,,,
,365,C2_SS_BBA_NE08_2,C2_SS_BBA_NE08_2,สฟฟ.บ้านบึง 1(ES.Ban Bueng 1),สฟฟ.บ้านบึง 1,สฟฟ.บ้านบึง 1,10.10.52.65,NE08E-S6,8,C2,BBA,,,,,
,366,C2_SS_BWA_NE08_1,C2_SS_BWA_NE08_1,สฟฟ.บางวัว 1(ES.Bang Wua 1),สฟฟ.บางวัว 1,สฟฟ.บางวัว 1,10.10.52.7,NE08E-S6,7,C2,BWA,,,,,
,367,C2_SS_KOA_NE08_1,C2_SS_KOA_NE08_1,สฟฟ.คลองใหม่(ES.Khlong Mai),สฟฟ.คลองใหม่,สฟฟ.คลองใหม่,10.10.52.8,NE08E-S6,7,C2,KOA,,,,,
,368,C2_SS_PLU_NE08_2,C2_SS_PLU_NE08_2,สฟฟ.ปลวกแดง 1,สฟฟ.ปลวกแดง 1,สฟฟ.ปลวกแดง 1,10.10.52.81,NE08E-S6,8,C2,PLU,,,,,
,369,C2_SS_BWI_NE08_1,C2_SS_BWI_NE08_1,สฟฟ.บ่อวิน 1(ES.Bowin 1),สฟฟ.บ่อวิน 1,สฟฟ.บ่อวิน 1,10.10.52.82,NE08E-S6,8,C2,BWI,,,,,
,370,C2_SS_BWN_NE08_1,C2_SS_BWN_NE08_1,สฟฟ.บ่อวิน 2(ES.Bowin 2),สฟฟ.บ่อวิน 2,สฟฟ.บ่อวิน 2,10.10.52.83,NE08E-S6,8,C2,BWN,,,,,
,371,C2_SS_BNF_NE08_1,C2_SS_BNF_NE08_1,สฟฟ.บึง 2(ES.Bueng 2),สฟฟ.บึง 2,สฟฟ.บึง 2,10.10.52.84,NE08E-S6,8,C2,BNF,,,,,
,372,C2_EO_BUG_NE08_1,C2_EO_BUG_NE08_1,กฟส.บึง (BE.Bueng),กฟส.บึง ,กฟส.บึง ,10.10.52.85,NE08E-S6,8,C2,BUG,,,,,
,373,C2_SS_BNG_NE08_1,C2_SS_BNG_NE8K_1,สฟฟ.บึง 1(ES.Bueng 1),สฟฟ.บึง 1,สฟฟ.บึง 1,10.10.52.86,NetEngine 8000 M6,8,C2,BNG,,,,,
,374,C2_EO_SRC_NE08_1,C2_EO_SRC_NE08_1,กฟอ.ศรีราชา(DE.Sriracha),กฟอ.ศรีราชา,กฟอ.ศรีราชา,10.10.52.87,NE08E-S6,8,C2,SRC,,,,,
,375,C2_SS_BPE_NE08_1,C2_SS_BPE_NE08_1,สฟฟ.บางพระ(ES.Bang Phra),สฟฟ.บางพระ,สฟฟ.บางพระ,10.10.52.88,NE08E-S6,8,C2,BPE,,,,,
,376,C2_SS_BSN_NE08_1,C2_SS_BSN_NE08_1,สฟฟ.บางแสน(ES.Bang Saen),สฟฟ.บางแสน,สฟฟ.บางแสน,10.10.52.89,NE08E-S6,8,C2,BSN,,,,,
,377,C2_SS_BAK_NE08_1,C2_SS_BAK_NE08_1,สฟฟ.บางคล้า(ES.Bang Khla),สฟฟ.บางคล้า,สฟฟ.บางคล้า,10.10.52.9,NetEngine 8000 M6,7,C2,BAK,,,,,
,378,C2_EO_BSN_NE08_1,New_C2_EO_BSN_NE08_1,กฟภ.บางแสน,กฟภ.บางแสน,กฟฟ.บางแสน,10.10.52.90,NE08E-S6E,8,C2,BSN,,,,,
,379,C2_SS_BS0_NE08_1,C2_SS_BSO_NE8K_1,สฟฟ.บางแสน 2,สฟฟ.บางแสน 2,สฟฟ.บางแสน 2,10.10.52.91,NetEngine 8000 M6,8,C2,BSO,,,,,
,380,C2_SS_SCA_NE08_1,New_C2_SS_SCA_NE08_1,สฟฟ.ศรีราชา,สฟฟ.ศรีราชา,สฟฟ.ศรีราชา,10.10.52.92,NE08E-S6E,8,C2,SCA,,,,,
,381,C2_SS_PLU_NE08_1,C2_SS_PLU_NE08_1,สฟฟ.ปลวกแดง 1,สฟฟ.ปลวกแดง 1,สฟฟ.ปลวกแดง 1,10.10.53.1,NE08E-S6,20,C2,PLU,,,,,
,382,C2_SS_RAA_NE08_1,C2_SS_RAA_NE08_1,สฟฟ.ระยอง 1,สฟฟ.ระยอง 1,สฟฟ.ระยอง 1,10.10.53.10,NE08E-S6,20,C2,RAA,,,,,
,383,C2_EO_RAY_NE08_1,C2_EO_RAY_NE08_1,กฟจ.ระยอง,กฟจ.ระยอง,กฟจ.ระยอง,10.10.53.11,NE08E-S6,20,C2,RAY,,,,,
,384,C2_SS_RAD_NE08_1,C2_SS_RAD_NE08_1,สฟฟ.ระยอง 4,สฟฟ.ระยอง 4,สฟฟ.ระยอง 4,10.10.53.12,NE08E-S6E,20,C2,RAD,,,,,
,385,C2_EO_PHE_NE08_1,C2_EO_PHE_NE8K_1,กฟส.เพ,กฟส.เพ,กฟส.เพ,10.10.53.13,NetEngine 8000 M6,20,C2,PHE,,,,,
,386,C2_SS_BYA_NE08_1,C2_SS_BYA_NE8K_1,สฟฟ.เพ,สฟฟ.เพ,สฟฟ.เพ,10.10.53.14,NetEngine 8000 M6,20,C2,BYA,,,,,
,387,C2_SS_KAA_NE8K_1,C2_SS_KAA_NE8K_1,สฟฟ.แกลง 1,สฟฟ.แกลง 1,สฟฟ.แกลง 1,10.10.53.15,NetEngine 8000 M6,20,C2,KAA,,,,,
,388,C2_SS_KAB_NE08_1,C2_SS_KAB_NE08_1,สฟฟ.แกลง 2,สฟฟ.แกลง 2,สฟฟ.แกลง 2,10.10.53.16,NE08E-S6E,20,C2,KAB,,,,,
,389,C2_SS_KAC_NE08_1,C2_SS_KAC_NE08_1,สฟฟ.แกลง 3,สฟฟ.แกลง 3,สฟฟ.แกลง 3,10.10.53.17,NE08E-S6,20,C2,KAC,,,,,
,390,C2_EO_KAA_NE08_1,C2_EO_KAA_NE08_1,กฟอ.แกลง,กฟอ.แกลง,กฟอ.แกลง,10.10.53.18,NE08E-S6E,20,C2,KAA,,,,,
,391,C2_EO_HKCM_NE80_1,C2_EO_HKCM_NE08_1,กฟย.เขาชะเมา,กฟย.เขาชะเมา,กฟย.เขาชะเมา,10.10.53.19,NE08E-S6E,20,C2,HKC,,,,,
,392,C2_EO_PLD_NE08_1,C2_EO_PLD_NE08_1,กฟอ.ปลวกแดง,กฟอ.ปลวกแดง,กฟอ.ปลวกแดง,10.10.53.2,NE08E-S6,20,C2,PLD,,,,,
,393,C2_EO_WC_NE8K_1,C2_EO_WC_NE8K_1,กฟย.วังจันทร์,กฟย.วังจันทร์,กฟย.วังจันทร์,10.10.53.20,NetEngine 8000 M6,20,C2,WC_,,,,,
,394,C2_EO_WC_NE08_1,C2_SS_WCN_NE08_1,สฟฟ.วังจันทร์,สฟฟ.วังจันทร์,สฟฟ.วังจันทร์,10.10.53.21,NE08E-S6,14,C2,WCN,,,,,
,395,C2_EO_NOY_NE08_1,C2_EO_NY_NE08_1,กฟย.หนองใหญ่,กฟย.หนองใหญ่,กฟย.หนองใหญ่,10.10.53.22,NE08E-S6,14,C2,NY_,,,,,
,396,C2_SS_NOY_NE08_1,C2_SS_NOY_NE08_1,สฟฟ.หนองใหญ่,สฟฟ.หนองใหญ่,สฟฟ.หนองใหญ่,10.10.53.23,NE08E-S6,14,C2,NOY,,,,,
,397,C2_SS_HEA_NE08_1,C2_SS_HEA_NE08_1,สฟฟ.เหมราช,สฟฟ.เหมราช,สฟฟ.เหมราช,10.10.53.24,NE08E-S6E,20,C2,HEA,,,,,
,398,C2_SS_PLV_NE08_1,C2_SS_PLV_NE8K_1,สฟฟ.ปลวกแดง 2,สฟฟ.ปลวกแดง 2,สฟฟ.ปลวกแดง 2,10.10.53.25,NetEngine 8000 M6,20,C2,PLV,,,,,
,399,C2_SS_PLW_NE08_1,C2_SS_PLW_NE08_1,สฟฟ.ปลวกแดง 3,สฟฟ.ปลวกแดง 3,สฟฟ.ปลวกแดง 3,10.10.53.26,NE08E-S6E,20,C2,PLW,,,,,
,400,C2_SS_PLX_NE08_1,C2_SS_PLX_NE08_1,สฟฟ.ปลวกแดง 4,สฟฟ.ปลวกแดง 4,สฟฟ.ปลวกแดง 4,10.10.53.27,NE08E-S6E,20,C2,PLX,,,,,
,401,C2_SS_PLY_NE08_1,C2_SS_PLY_NE08_1,สฟฟ.ปลวกแดง 5,สฟฟ.ปลวกแดง 5,สฟฟ.ปลวกแดง 5,10.10.53.28,NE08E-S6E,20,C2,PLY,,,,,
,402,C2_SS_ACI_NE08_1,C2_SS_ACA_NE08_1,สฟฟ.อมตะซิตี้,สฟฟ.อมตะซิตี้,สฟฟ.อมตะซิตี้,10.10.53.29,NE08E-S6,20,C2,ACA,,,,,
,403,C2_SS_MBA_NE08_1,C2_SS_MBA_NE08_1,สฟฟ.มาบข่า,สฟฟ.มาบข่า,สฟฟ.มาบข่า,10.10.53.3,NE08E-S6,20,C2,MBA,,,,,
,404,C2_SS_ESB_NE08_1,C2_SS_ESB_NE08_1,สฟฟ.อีสเทิร์นซีบอร์ด,สฟฟ.อีสเทิร์นซีบอร์ด,สฟฟ.อีสเทิร์นซีบอร์ด,10.10.53.30,NE08E-S6E,8,C2,ESB,,,,,
,405,C2_SS_ACB_NE08_1,C2_SS_ACB_NE08_1,สฟฟ.อมตะซิตี้ 2,สฟฟ.อมตะซิตี้ 2,สฟฟ.อมตะซิตี้ 2,10.10.53.33,NE08E-S6E,20,C2,ATV,,,,,
,406,C2_SS_ESD_NE08_1,C2_SS_ESD_NE08_1,สฟฟ.อีสเทิร์นซีบอร์ด 3 (ชค),สฟฟ.อีสเทิร์นซีบอร์ด 3 (ชค),สฟฟ.อีสเทิร์นซีบอร์ด 3 (ชค),10.10.53.34,NE08E-S6E,20,C2,ESD,,,,,
,407,C2_SS_BBA_NE08_3,C2_SS_BBA_NE08_3,สฟฟ.บ้านบึง 1,สฟฟ.บ้านบึง 1,สฟฟ.บ้านบึง 1,10.10.53.35,NE08E-S6E,20,C2,BBA,,,,,
,408,C2_SS_NOU_NE08_1,C2_SS_NOU_NE08_1,สฟฟ.หนองใหญ่ 2 (ชค),สฟฟ.หนองใหญ่ 2 (ชค),สฟฟ.หนองใหญ่ 2 (ชค),10.10.53.36,NE08E-S6,20,C2,NOZ,,,,,
,409,C2_EO_NKP_NE08_1,C2_EO_NKP_NE08_1,กฟส.นิคมพัฒนา,กฟส.นิคมพัฒนา,กฟส.นิคมพัฒนา,10.10.53.4,NE08E-S6E,20,C2,NKP,,,,,
,410,C2_SS_NLL_NE08_1,C2_SS_NLL_NE08_1,สฟฟ.หนองละลอก,สฟฟ.หนองละลอก,สฟฟ.หนองละลอก,10.10.53.5,NE08E-S6,20,C2,NLL,,,,,
,411,C2_SS_BKH_NE08_1,C2_SS_BKH_NE08_1,สฟฟ.บ้านค่าย 1,สฟฟ.บ้านค่าย 1,สฟฟ.บ้านค่าย 1,10.10.53.6,NE08E-S6,20,C2,BKH,,,,,
,412,C2_SS_BKI_NE08_1,C2_SS_BKI_NE08_1,สฟฟ.บ้านค่าย 2,สฟฟ.บ้านค่าย 2,สฟฟ.บ้านค่าย 2,10.10.53.7,NE08E-S6,20,C2,BKI,,,,,
,413,C2_SS_BKJ_NE08_1,C2_SS_BKJ_NE08_1,สฟฟ.บ้านค่าย 3,สฟฟ.บ้านค่าย 3,สฟฟ.บ้านค่าย 3,10.10.53.8,NE08E-S6E,20,C2,BKJ,,,,,
,414,C2_EO_BNK_NE08_1,C2_EO_BNK_NE08_1,กฟอ.บ้านค่าย,กฟอ.บ้านค่าย,กฟอ.บ้านค่าย,10.10.53.9,NE08E-S6,20,C2,BNK,,,,,
,415,C3_SS_BPB_NE08_1,C3_SS_BPB_NE08_1,สฟฟ.บ้านโป่ง 2(ES.Ban Pong 2),สฟฟ.บ้านโป่ง 2,สฟฟ.บ้านโป่ง 2,10.10.54.1,NE08E-S6,11,C3,BPB,,,,,
,416,C3_SS_SPN_NE08_1,C3_SS_SPN_NE08_1,สฟฟ.สองพี่น้อง(ES.Song Phi Nong),สฟฟ.สองพี่น้อง,สฟฟ.สองพี่น้อง,10.10.54.10,NE08E-S6,11,C3,SPN,,,,,
,417,C3_SS_BEA_NE08_1,C3_SS_BEA_NE08_1,สฟฟ.บางเลน(ES.Bang len),สฟฟ.บางเลน,สฟฟ.บางเลน,10.10.54.11,NE08E-S6,11,C3,BEA,,,,,
,418,C3_SS_BGM_NE08_1,New_C3_SS_BGM_NE08_1,สฟฟ.บางปลาม้า,สฟฟ.บางปลาม้า,สฟฟ.บางปลาม้า,10.10.54.12,NE08E-S6E,11,C3,BGM,,,,,
,419,C3_ADDC_EO_NKM_NE08_2,C3_ADDC_EO_NPM_NE8K_2,ศจฟ. กฟก.3 (นครปฐม) (EDC. C.3 (Nakhon Pathom)),ศจฟ. กฟก.3 ,ศจฟ.กฟก.3,10.10.54.128,NetEngine 8000 M6,13,C3,NPM,,,,,
,420,C3_EO_PMN_NE08_1,C3_EO_PMN_NE08_1,กฟส.พุทธมณฑล(BE.Phuttamonthon),กฟส.พุทธมณฑล,กฟส.พุทธมณฑล,10.10.54.129,NE08E-S6,13,C3,PMN,,,,,
,421,C3_EO_UTG_NE08_1,New_C3_EO_UTG_NE08_1,กฟอ.อู่ทอง,กฟอ.อู่ทอง,กฟอ.อู่ทอง,10.10.54.13,NE08E-S6E,11,C3,UTG,,,,,
,422,C3_SS_NCA_NE08_1,C3_SS_NCA_NE08_1,สฟฟ.นครชัยศรี 1(ES.Nakhon Chai Si 1),สฟฟ.นครชัยศรี 1,สฟฟ.นครชัยศรี 1,10.10.54.130,NE08E-S6,13,C3,NCA,,,,,
,423,C3_EO_SAP_NE08_1,C3_EO_SAP_NE08_1,กฟอ.สามพราน(DE.Sam Phran),กฟอ.สามพราน,กฟอ.สามพราน,10.10.54.131,NE08E-S6,13,C3,SAP,,,,,
,424,C3_SS_OYI_NE08_1,C3_SS_OYI_NE8K_1,สฟฟ.อ้อมใหญ่ 1(ES.Aom yai 1),สฟฟ.อ้อมใหญ่ 1,สฟฟ.อ้อมใหญ่ 1,10.10.54.132,NetEngine 8000 M6,13,C3,OYI,,,,,
,425,C3_SS_OYK_NE08_1,C3_SS_OYK_NE8K_1,สฟฟ.อ้อมใหญ่ 2(ES.Aom yai 2),สฟฟ.อ้อมใหญ่ 2,สฟฟ.อ้อมใหญ่ 2,10.10.54.133,NetEngine 8000 M6,13,C3,OYK,,,,,
,426,C3_SS_ONA_NE08_1,C3_SS_ONA_NE08_1,สฟฟ.อ้อมน้อย 1(ES.Aom Noi 1),สฟฟ.อ้อมน้อย 1,สฟฟ.อ้อมน้อย 1,10.10.54.134,NE08E-S6,13,C3,ONA,,,,,
,427,C3_SS_ONB_NE08_1,C3_SS_ONB_NE08_1,สฟฟ.อ้อมน้อย 2(ES.Aom Noi 2),สฟฟ.อ้อมน้อย 2,สฟฟ.อ้อมน้อย 2,10.10.54.135,NE08E-S6,13,C3,ONB,,,,,
,428,C3_SS_KTA_NE80_1,C3_SS_KTA_NE8K_1,สฟฟ.กระทุ่มแบน 1(ES.Krathum Baen 1),สฟฟ.กระทุ่มแบน 1,สฟฟ.กระทุ่มแบน 1,10.10.54.136,NetEngine 8000 M6,13,C3,KTA,,,,,
,429,C3_SS_OYL_NE08_1,C3_SS_OYL_NE08_1,สฟฟ.อ้อมใหญ่ 3(ES.Aom yai 3),สฟฟ.อ้อมใหญ่ 3,สฟฟ.อ้อมใหญ่ 3,10.10.54.137,NE08E-S6,13,C3,OYL,,,,,
,430,C3_SS_SAA_NE08_1,C3_SS_SAA_NE08_1,สฟฟ.สามพราน 1(ES.Sam Phran 1),สฟฟ.สามพราน 1,สฟฟ.สามพราน 1,10.10.54.138,NE08E-S6,13,C3,SAA,,,,,
,431,C3_SS_KTD_NE08_1,C3_SS_KTD_NE08_1,สฟฟ.กระทุ่มแบน 4(ES.Krathum Baen 4),สฟฟ.กระทุ่มแบน 4,สฟฟ.กระทุ่มแบน 4,10.10.54.139,NE08E-S6,13,C3,KTD,,,,,
,432,C3_EO_BOP_NE08_1,New_C3_EO_BOP_NE08_1,กฟอ.บ่อพลอย,กฟอ.บ่อพลอย,กฟอ.บ่อพลอย,10.10.54.14,NE08E-S6E,11,C3,BOP,,,,,
,433,C3_EO_BPW_NE08_1,C3_EO_BPW_NE08_1,กฟอ.บ้านแพ้ว,กฟอ.บ้านแพ้ว,กฟจ.สมุทรสาคร 2 (บ้านแพ้ว),10.10.54.148,NE08E-S6,13,C3,BPW,,,,,
,434,C3_SS_NPT_NE08_1,C3_SS_NPT_NE08_1,สฟฟ.นครปฐม 1(ES.Nakhon Pathom 1),สฟฟ.นครปฐม 1,สฟฟ.นครปฐม 1,10.10.54.149,NE08E-S6,13,C3,NPT,,,,,
,435,C3_SS_BOP_NE08_1,New_C3_SS_BOP_NE08_1,สฟฟ.บ่อพลอย,สฟฟ.บ่อพลอย,สฟฟ.บ่อพลอย,10.10.54.15,NE08E-S6E,11,C3,BOP,,,,,
,436,C3_SS_SAB_NE08_1,New_C3_SS_SAB_NE08_1,สฟฟ.สามพราน 2,สฟฟ.สามพราน 2,สฟฟ.สามพราน 2,10.10.54.150,NE08E-S6E,13,C3,SAB,,,,,
,437,C3_SS_OND_NE08_1,New_C3_SS_OND_NE08_1,สฟฟ.อ้อมน้อย 4,สฟฟ.อ้อมน้อย 4,สฟฟ.อ้อมน้อย 4,10.10.54.157,NE08E-S6E,13,C3,OND,,,,,
,438,C3_SS_SAD_NE08_1,New_C3_SS_SAD_NE08_1,สฟฟ.สามพราน 4,สฟฟ.สามพราน 4,สฟฟ.สามพราน 4,10.10.54.158,NE08E-S6E,13,C3,SAD,,,,,
,439,C3_SS_DOA_NE08_1,New_C3_SS_DOA_NE08_1,สฟฟ.ดอนเจดีย์,สฟฟ.ดอนเจดีย์,สฟฟ.ดอนเจดีย์,10.10.54.16,NE08E-S6E,11,C3,DOA,,,,,
,440,C3_SS_SAC_NE08_1,New_C3_SS_SAC_NE08_1,สฟฟ.สามพราน 3,สฟฟ.สามพราน 3,สฟฟ.สามพราน 3,10.10.54.160,NE08E-S6E,13,C3,SAC,,,,,
,441,C3_WH_NCA_NE08_1,New_C3_WH_NCA_NE08_1,คลังพัสดุนครชัยศรี,คลังพัสดุนครชัยศรี,คลังพัสดุนครชัยศรี,10.10.54.161,NE08E-S6E,13,C3,NCA,,,,,
,442,C3_EO_NCA_NE8K_1,New_C3_EO_NCA_NE8K_1,กฟอ.นครชัยศรี (แทรกกลาง),กฟอ.นครชัยศรี (แทรกกลาง),กฟอ.นครชัยศรี,10.10.54.165,NetEngine 8000 M6,13,C3,NCA,,,,,
,443,C3_SS_OYM_NE8K_1,New_C3_SS_OYM_NE8K_1,สฟฟ.อ้อมใหญ่ 4 (แทรกกลาง),สฟฟ.อ้อมใหญ่ 4 (แทรกกลาง),สฟฟ.อ้อมใหญ่ 4 (แทรกกลาง),10.10.54.166,NetEngine 8000 M6,13,C3,OYM,,,,,
,444,C3_EO_ONA_NE8K_1,New_C3_EO_ONA_NE8K_1,กฟภ.อ้อมน้อย (แทรกกลาง),กฟภ.อ้อมน้อย (แทรกกลาง),กฟภ.อ้อมน้อย,10.10.54.167,NetEngine 8000 M6,13,C3,ONA,,,,,
,445,C3_SS_ONC_NE8K_1,New_C3_SS_ONC_NE8K_1,สฟฟ.อ้อมน้อย 3 (แทรกกลาง),สฟฟ.อ้อมน้อย 3 (แทรกกลาง),สฟฟ.อ้อมน้อย 3 (แทรกกลาง),10.10.54.168,NetEngine 8000 M6,13,C3,ONC,,,,,
,446,C3_EO_KTA_NE8K_1,C3_EO_KTN_NE08_1,กฟย.คลองตัน,กฟย.คลองตัน,กฟย.คลองตัน,10.10.54.169,NE08E-S6,13,C3,KTN,,,,,
,447,C3_EO_DOA_NE08_1,New_C3_EO_DOA_NE08_1,กฟอ.ดอนเจดีย์,กฟอ.ดอนเจดีย์,กฟส.ดอนเจดีย์,10.10.54.17,NE08E-S6E,11,C3,DOA,,,,,
,448,C3_EO_DAA_NE08_1,C3_EO_DAA_NE8K_1,กฟอ.ด่านช้าง,กฟอ.ด่านช้าง,กฟส.ด่านช้าง,10.10.54.18,NetEngine 8000 M6,11,C3,DAA,,,,,
,449,C3_EO_HWT_NE8K_1,New_C3_EO_HWT_NE8K_1,ศูนย์ฝึกฯ นครชัยศรี (แทรกกลาง),ศูนย์ฝึกฯ นครชัยศรี (แทรกกลาง),ศูนย์ฝึกฯ นครชัยศรี,10.10.54.180,NetEngine 8000 M6,13,C3,HWT,,,,,
,450,C3_SS_ONE_NE8K_1,New_C3_SS_ONE_NE8K_1,สฟฟ.อ้อมน้อย 5,สฟฟ.อ้อมน้อย 5,สฟฟ.อ้อมน้อย 5,10.10.54.181,NetEngine 8000 M6,13,C3,ONE,,,,,
,451,New_C3_SS_BNP_NE8K_2,New_C3_SS_BNP_NE8K_2,กฟอ.บ้านแพ้ว,กฟอ.บ้านแพ้ว,กฟจ.สมุทรสาคร 2 (บ้านแพ้ว),10.10.54.182,NetEngine 8000 M6,13,C3,BNP,,,,,
,452,C3_SS_SAE_NE08_1,C3_SS_SAE_NE08_1,สฟฟ.สามพราน 5 (ชค),สฟฟ.สามพราน 5 (ชค),สฟฟ.สามพราน 5 (ชค),10.10.54.183,NE08E-S6,13,C3,SAE,,,,,
