Frame Report,,,,,,,,,,,,,,,,,,,,,,,,,,,
Save Time: 2025-05-15 12:21:40 User Name: tempuno,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total records: 653,,,,,,,,,,,,,,,,,,,,,,,,,,,
NE Name,Subrack Name,Subrack Type,NE ID,NE IP Address,Software Version,SN(Bar Code),Subnet,Subnet Path,Subrack ID,Subrack Status,Subrack Alias,PN(BOM Code),Description,Manufactured On,Equipment Room Name,Rack Name,Subrack Number,Remarks,Custom Label,resId,nativeId,,Masterplan Assigned,Boq. Ph.,Actual Site name,Match,Region
C1_EO_SKE_NE8K_1,NetEngine 8000 M6 frame,NETENGINE-8000-M6-DC,139-50437,10.10.51.70,"VRP (R) software, Version 8.200(CN), RELEASE 0000",2102353HHE10M6000048,ROOT,ROOT,1,Normal,,02353HHE,"Assembling Components,NetEngine 8000,CR8BM6BKPDC1,NetEngine 8000 M6 Integrated DC Chassis Components(Including 2*DC Power,Fan Box)",2021-06-25,,,,,,4c01f84e-ac06-11ea-9e76-24a52ca945ea,"NE=3145843,FR=1",,กฟจ.สระแก้ว,Ph#5,กฟจ.สระแก้ว,Match,C1
C2_SS_LCA_NE08_1,NE08E frame,NE08E Frame,,10.10.52.130,"VRP (R) software, Version 5.170 (CN), RELEASE 0001",21021144746TH6900161,ROOT,ROOT,1,Normal,,02114474,NE08E frame,2017-06-20,,,,,,4c01f84f-ac06-11ea-9e76-24a52ca945ea,"NE=3145927,FR=1",,0,Ph#1,สฟฟ.แหลมฉบัง 1,Not Match,C2
C1_EO_SEN_NE08_1,NE08E frame,NE08E Frame,,10.10.50.22,"VRP (R) software, Version 5.170 (CN), RELEASE 0001",21021144746TH6900257,ROOT,ROOT,1,Normal,,02114474,NE08E frame,2017-06-20,,,,,,4c01f850-ac06-11ea-9e76-24a52ca945ea,"NE=3145751,FR=1",,0,Ph#1,กฟอ.เสนา,Not Match,C1
C1_SS_NOH_NE08_1,NE08E frame,NE08E Frame,,10.10.50.202,"VRP (R) software, Version 5.170 (CN), RELEASE 0001",21021144746TH6900191,ROOT,ROOT,1,Normal,,02114474,NE08E frame,2017-06-20,,,,,,4c01f851-ac06-11ea-9e76-24a52ca945ea,"NE=3145826,FR=1",,0,Ph#1,สฟฟ.หนองแค 1,Not Match,C1
C3_EO_PNN_NE08_1,NE08E frame,NE08E Frame,,10.10.54.4,"VRP (R) software, Version 5.170 (CN), RELEASE 0001",21021144746TH6900154,ROOT,ROOT,1,Normal,,02114474,NE08E frame,2017-06-20,,,,,,4c01f854-ac06-11ea-9e76-24a52ca945ea,"NE=3145779,FR=1",,0,Ph#1,กฟอ.พนมทวน,Not Match,C3
C3_SS_KSA_NE08_1,NE08E frame,NE08E Frame,,10.10.54.69,"VRP (R) software, Version 5.170 (CN), RELEASE 0001",21021144746TH6900174,ROOT,ROOT,1,Normal,,02114474,NE08E frame,2017-06-20,,,,,,4c01f856-ac06-11ea-9e76-24a52ca945ea,"NE=3145792,FR=1",,0,Ph#1,สฟฟ.กำแพงแสน,Not Match,C3
C1_SS_BSG_NE8K_1,NetEngine 8000 M6 frame,NETENGINE-8000-M6-DC,219-36767,10.10.51.7,"VRP (R) software, Version 8.210(CN), RELEASE 0000",2102353HHE10L6000037,ROOT,ROOT,1,Normal,NA,02353HHE,"Assembling Components,NetEngine 8000,CR8BM6BKPDC1,NetEngine 8000 M6 Integrated DC Chassis Components(Including 2*DC Power,Fan Box)",2020-06-15,,,,,,4c01f858-ac06-11ea-9e76-24a52ca945ea,"NE=3145814,FR=1",,กฟส.บ้านสร้าง,Ph#4,สฟฟ.บ้านสร้าง,Not Match,C1
C1_SS_BMA_NE08_1,NE08E frame,NE08E Frame,,10.10.50.13,"VRP (R) software, Version 5.170 (CN), RELEASE 0001",21021144746TH6900232,ROOT,ROOT,1,Normal,,02114474,NE08E frame,2017-06-20,,,,,,4c01f85a-ac06-11ea-9e76-24a52ca945ea,"NE=3145742,FR=1",,0,Ph#1,สฟฟ.บ้านใหม่,Not Match,C1
C1_SS_SNO_NE08_1,NE08E frame,NE08E Frame,,10.10.50.19,"VRP (R) software, Version 5.170 (CN), RELEASE 0001",21021144746TH6900067,ROOT,ROOT,1,Normal,,02114474,NE08E frame,2017-06-20,,,,,,4c01f85f-ac06-11ea-9e76-24a52ca945ea,"NE=3145748,FR=1",,0,Ph#1,สฟฟ.ไทรน้อย,Not Match,C1
C3_SS_BPA_NE08_1,NE08E frame,NE08E Frame,,10.10.54.66,"VRP (R) software, Version 5.170 (CN), RELEASE 0001",21021144746TH6900176,ROOT,ROOT,1,Normal,,02114474,NE08E frame,2017-06-20,,,,,,4c01f860-ac06-11ea-9e76-24a52ca945ea,"NE=3145789,FR=1",,0,Ph#1,สฟฟ.บ้านโป่ง 1,Not Match,C3
